name,price_original,price_for_sale,size_package_type,size_volume,size_cup_price,size_cup_measure,image_url
Fresh Produce Avocado ,3.0,3.0,Each,,0.0,,https://static.countdown.co.nz/assets/product-images/big/267980000004.jpg
Purex Toilet Paper 12Pk Unscented 2Ply,5.99,5.0,,,0.21,100SS,https://static.countdown.co.nz/assets/product-images/big/9414812945212.jpg
Alpine Cheese Block Edam,11.5,10.0,,1Kg,10.0,1KG,https://static.countdown.co.nz/assets/product-images/big/9421018080029.jpg
Chelsea White Sugar ,3.6,2.6,Bag,1.5Kg,0.17,100G,https://static.countdown.co.nz/assets/product-images/big/9415272101118.jpg
Meadow Fresh Sour Cream ,3.3,3.0,,250G,1.2,100G,https://static.countdown.co.nz/assets/product-images/big/9415522000574.jpg
Bluebird Originals Potato Chips Salt & Vinegar,2.2,2.2,,150G,1.47,100G,https://static.countdown.co.nz/assets/product-images/big/9400566004978.jpg
Alpine Cheese Block Colby,11.5,10.0,,1Kg,10.0,1KG,https://static.countdown.co.nz/assets/product-images/big/9421018080227.jpg
Bluebird Originals Potato Chips Ready Salted,2.2,2.2,,150G,1.47,100G,https://static.countdown.co.nz/assets/product-images/big/9400566004961.jpg
Farmer Brown Eggs Dozen Brown Size 6,4.5,3.5,Carton,12Pk,0.29,1EA,https://static.countdown.co.nz/assets/product-images/big/9414674110667.jpg
Sanitarium Weetbix Wheat Biscuits ,7.6,6.9,,1.2Kg,0.58,100G,https://static.countdown.co.nz/assets/product-images/big/9414942805653.jpg
Paseo Luxury Toilet Paper 12Pk White 3 Ply,7.5,6.0,,,0.28,100SS,https://static.countdown.co.nz/assets/product-images/big/9339812000856.jpg
Bluebird Originals Potato Chips Chicken,2.2,2.2,,150G,1.47,100G,https://static.countdown.co.nz/assets/product-images/big/9400566004992.jpg
Sanitarium So Good Almond Milk Unsweetened Long Life,4.4,3.0,Carton,1L,3.0,1L,https://static.countdown.co.nz/assets/product-images/big/9300652803495.jpg
Bluebird Originals Potato Chips Sour Cream & Chives,2.2,2.2,,150G,1.47,100G,https://static.countdown.co.nz/assets/product-images/big/9400566004985.jpg
Instore Deli Ham Shaved 98% Fat Free,19.9,14.9,,Per Kg,1.49,100G,https://static.countdown.co.nz/assets/product-images/big/271965000002.jpg
Nestle Milo Drinking Chocolate ,4.69,3.5,,310G,1.13,100G,https://static.countdown.co.nz/assets/product-images/big/9300605043299.jpg
Hellers Ham Shaved Champagne Leg,3.79,2.99,,100G,2.99,100G,https://static.countdown.co.nz/assets/product-images/big/9415421010445.jpg
Countdown Ham Shaved ,3.99,3.99,Prepacked,200G,2.0,100G,https://static.countdown.co.nz/assets/product-images/big/9416444988001.jpg
Mccain Pub Style Fries Extra Crispy,5.0,3.8,,750G,0.51,100G,https://static.countdown.co.nz/assets/product-images/big/9310174173358.jpg
Sanitarium Skippy Cornflakes ,4.3,3.3,Pkt,500G,0.66,100G,https://static.countdown.co.nz/assets/product-images/big/9414942030505.jpg
Caged Eggs Dozen Mixed,4.0,3.5,Carton,12Pk,0.29,1EA,https://static.countdown.co.nz/assets/product-images/big/9400597011020.jpg
Purex Toilet Paper  6Pk Mega Long White,7.0,5.0,,,0.19,100SS,https://static.countdown.co.nz/assets/product-images/big/9414812091988.jpg
Doritos Corn Chips Supreme Cheese Party Bag,3.99,3.0,,300G,1.0,100G,https://static.countdown.co.nz/assets/product-images/big/9400566006354.jpg
Natural Spca Eggs Dozen Free Range,8.5,6.9,Carton,12Pk,0.58,1EA,https://static.countdown.co.nz/assets/product-images/big/9421902832109.jpg
Sanitarium Rice Bubbles Ricies,4.3,3.3,,460G,0.72,100G,https://static.countdown.co.nz/assets/product-images/big/9414942801440.jpg
Sanitarium So Good Oat Milk No Added Sugar,4.0,3.3,Carton,1L,0.33,100ML,https://static.countdown.co.nz/assets/product-images/big/9300652809985.jpg
