description,description_unit,price_mode,price_per_item,price_per_base_unit,badge,image_url
Tip Top Supersoft White Sandwich Bread,700g,ea,3.79,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5009505.png
Nature's Fresh White Sandwich Bread,700g,ea,2.99,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026066.png
Produce Green Avocado,ea,ea,2.99,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028110.png
Produce Bananas,kg,kg,2.99,$0.30/100g,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5046542.png
Value Standard Milk,2l,ea,3.59,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5201479.png
Produce Broccoli,ea,ea,1.99,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5039956.png
Value Lite Milk,2l,ea,3.59,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5201487.png
Tip Top Supersoft White Long Rolls,6ea,ea,3.19,,V2-1000-Saver.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026034.png
Produce NZ Strawberries,250g,ea,3.99,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5040093.png
Value White Toast Bread,600g,ea,1.20,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5092911.png
Produce Red Capsicum,ea,ea,2.49,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5046503.png
Pams Butter,500g,ea,5.39,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5023660.png
Anchor Butter,500g,ea,6.89,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5002650.png
Anchor Blue Milk,2l,ea,4.66,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5000527.png
Produce Carrots,kg,kg,2.29,$0.23/100g,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5039965.png
Tip Top Supersoft White Toast Bread,700g,ea,3.79,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5009506.png
Pams Fresh Cream,300ml,ea,2.57,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028852.png
Butchery Skinless Chicken Breast,kg,kg,11.99,$1.20/100g,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5105651.png
Value Wheatmeal Toast Bread,600g,ea,1.20,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5233712.png
Pams Cream,500ml,ea,3.79,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5040641.png
Nature's Fresh White Toast Bread,700g,ea,2.99,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026067.png
Dole Bobby Bananas,850g,ea,3.49,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5007770.png
Anchor Blue Milk,1l,ea,2.90,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5000518.png
Molenberg Original Toast Bread,700g,ea,3.59,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026127.png
